0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0.1458;-0.2768;0.1939;-0.3789;0.9655;0.1899;0.052;-0.6754;0.6247;-0.2769;-0.363;0.736;-0.6149;0.1512;-0.8581;0.5809;0.4463;-0.2894;-0.7526;0.8727;0.836;-0.0691;-0.1903;0.5927;-0.7366;-0.2341;0.6284;0.5179;-0.652;-0.1018
-0.5603;-0.5905;-0.583;0.1038;0.6923;-0.9028;-0.765;0.6341;0.0411;-0.8482;-0.3627;0.6446;-0.6121;0.5112;-0.5198;-0.2936;0.17;0.9201;-0.6909;0.2923;0.6075;-0.1791;-0.276;0.6614;-0.1419;-0.3347;-0.6138;-0.9236;-0.838;0.977
0.0557;0.6996;0.079;0.4313;-0.0092;0.1145;-0.6028;0.7045;0.77;-0.1313;-0.9489;0.0372;-0.2469;-0.4127;0.2192;0.0436;0.5255;-0.3774;-0.0909;-0.2873;-0.0042;0.3122;0.3914;-0.7123;-0.7336;-0.4691;-0.843;0.9321;-0.5541;0.6317
0.0828;0.9515;0.0429;0.8839;-0.3741;0.4363;0.1373;0.3592;0.614;0.2553;0.5742;-0.5886;0.7867;-0.197;-0.2061;-0.0703;0.5217;0.4606;0.0621;-0.6324;-0.2708;0.0802;0.3027;-0.7139;0.4411;0.0226;-0.982;0.1442;0.9365;-0.3065
0.8331;0.0653;-0.7656;0.6471;0.5684;0.3171;-0.0026;0.7313;-0.2613;0.4333;-0.1679;-0.5712;-0.7817;0.9036;-0.7536;0.6985;-0.1588;0.8086;0.4866;0.7284;0.0656;-0.9141;-0.9159;-0.1114;-0.1963;0.5329;0.2336;-0.5207;0.1337;0.4264
0.2295;-0.2346;0.0204;0.3688;-0.3633;0.7947;0.7682;-0.3442;0.0284;-0.8076;-0.1636;0.9601;-0.4298;-0.9177;0.6935;0.4209;-0.0267;0.7574;0.4685;-0.5848;0.3916;-0.2879;-0.5923;-0.5063;-0.5663;-0.1812;0.8609;-0.6724;-0.3547;0.0166
0.7916;0.8466;-0.1043;-0.009;-0.9665;-0.9271;0.5805;0.3216;-0.1687;-0.4668;-0.9997;0.7219;-0.2548;-0.9871;0.1999;-0.3843;0.9693;-0.4501;-0.6464;0.915;-0.0903;-0.8944;-0.0694;0.3207;-0.6546;0.5297;0.8763;0.5399;-0.6011;-0.8592
-0.6371;0.2179;-0.1149;0.6055;0.2014;0.0159;-0.1625;-0.0886;0.2052;0.9186;0.7072;-0.5772;-0.3747;-0.1725;0.965;0.8411;-0.21;-0.9302;-0.6226;-0.8527;-0.4653;-0.0957;0.2887;-0.6329;-0.9125;0.5922;-0.6253;-0.0335;0.3489;0.3196
-0.8705;-0.2944672890675588;0.30633253342973094;-0.3169448956288089;-0.5805862809733486;0.3190407483452301;0.07213837112645857;-0.19972549054966354;0.7203935126695074;-0.3876209315071636;-0.06038757251574076;0.10427749556815434;0.6830642820581054;-0.0548373799000438;-0.25728748413672664;0.10586974268468416;0.7677892631781152;-0.6405391918002363;0.23886652965453972;-0.030416999505050946;0.8585426372459974;0.7786774620462764;-0.732534993558159;0.5159061639424506;0.978756964939586;-0.7777469642000221;-0.006776489921667306;0.2730884342784818;-0.05110619902065557;-0.7711639926245986
0.1743;-0.3251;-0.3279;0.8495;-0.7287;0.0948;-0.2984;-0.2385;-0.1336;0.63;-0.3658;0.1239;-0.5419;0.5922;-0.3153;0.0311;-0.2595;-0.9582;0.9677;-0.4297;0.2004;-0.6866;0.0833;-0.6184;0.6939;0.6218;-0.4665;0.1412;-0.8601;-0.8878
-0.8555;-0.3845;0.9328;-0.0548;0.7533;0.2121;0.1004;-0.4591;-0.9248;0.0969;0.04;0.479;0.213;0.6828;-0.188;0.9027;0.1964;-0.0747;-0.2738;-0.8628;-0.5081;0.0449;-0.9599;-0.6678;0.8264;-0.7642;-0.9385;-0.8018;0.4452;-0.6816
-0.3362;0.5354327109324407;-0.06806746657026866;-0.7175448956288086;-0.9016862809733486;0.3143407483452301;-0.2523616288735417;-0.21632549054966355;-0.28160648733049193;-0.11192093150716355;0.3414124274842589;0.727977495568154;0.36486428205810467;0.8912626200999572;-0.7515874841367259;-0.9391302573153152;0.9776892631781152;-0.20943919180023424;-0.31613347034546035;-0.45751699950505126;0.47734263724599807;0.44027746204627666;0.4634650064418419;0.08940616394245215;-0.16174303506041438;-0.43584696420002345;-0.8480764899216684;0.7844884342784819;-0.47700619902065566;0.09403600737540256
-0.9776;0.9675;0.9311;0.6505;-0.2294;0.0887;-0.7759;-0.8553;-0.1954;-0.1951;-0.5169;0.3993;-0.8079;-0.833;0.3617;0.1147;-0.7871;0.6356;-0.6946;0.041;0.1046;0.4606;-0.617;0.895;0.813;0.6594;0.0545;0.6785;-0.2294;0.9956
0.1885;0.6328;0.1078;-0.4916;-0.4296;-0.2757;0.71;-0.1866;-0.8509;-0.7386;-0.0312;0.509;0.5095;0.752;0.2801;-0.7731;0.8197;0.3532;0.9859;0.4236;-0.0919;-0.6967;-0.4048;-0.7331;0.1031;0.355;-0.3183;-0.4153;-0.2704;0.2133
0.2806;0.4446817800991875;-0.9145;0.7506;0.07799783845072686;-0.1455;0.4275;0.9646891339561723;0.0584;-0.776;0.6349918385171127;0.18269997157404314;0.7818;0.3374274241588749;0.517367195212863;0.10143953457481421;0.703;-0.3123;-0.1161;-0.8026399040533745;0.6974415722613586;-0.25748039986413485;-0.2314;-0.3614;-0.0897;-0.3813;0.09588338206670786;0.7456;0.6034;0.6922822161190656
-0.0496;0.896;-0.0383;0.9801;0.3866;0.2282;-0.2502;-0.9362;0.1154;-0.822;-0.9301;0.9268;0.8934;0.3198;-0.952;-0.52;0.1305;-0.7159;0.7637;-0.358;-0.4638;-0.6657;-0.2381;0.4413;-0.2694;-0.5605;-0.9966;-0.6238;-0.5616;-0.3752
-0.9141;-0.1782;-0.2154;-0.6627;0.4505;0.2959;-0.2183;0.294;-0.0935;-0.3131;0.5346;0.9957;0.3635;0.286;0.2821;0.5646;-0.5127;0.8412;0.8598;-0.0459;0.5161;0.9573;-0.5347;0.1191;-0.9533;0.8659;-0.8755;0.8149;-0.7301;-0.8983
0.9082;0.42343271093244117;0.19403253342973137;0.6891551043711914;0.4477137190266516;0.2605407483452296;-0.6282616288735414;0.6601745094503361;-0.2421064873304927;0.8278790684928352;-0.38838757251574113;0.7274774955681541;0.3883642820581047;0.987662620099957;-1.0055874841367247;0.31426974268468466;0.4234892631781157;0.7234608081997637;-1.0081334703454603;0.43068300049494873;-0.03505736275400186;0.12457746204627648;-0.6203349935581589;-0.09989383605754784;0.5960569649395859;0.36745303579997646;-0.09087648992166736;-0.4151115657215182;-0.9539061990206554;0.01913600737540254
-0.4543;0.3715;0.4421;-0.5985;-0.6942;0.8384;0.1859;0.5526;0.5264;0.0064;0.0486;0.062;0.376;0.509;-0.6616;-0.4496;0.1509;0.4715;0.2208;0.3989;-0.2717;-0.1951;0.6926;0.0068;0.3761;0.791;-0.4532;0.9201;-0.4976;0.894
0.9887;0.024832710932440792;-0.020767466570268768;0.8010551043711914;-0.17348628097334923;0.7907407483452302;-0.9653616288735414;0.29747450945033693;-0.06130648733049261;-0.5319209315071647;0.9186124274842586;-0.9229225044318458;0.5036642820581053;-0.20523737990004354;-0.5341874841367259;0.22976974268468475;-0.9647107368218848;-0.22083919180023426;-0.061933470345460276;-0.9317169995050515;1.0194426372459988;-0.6278225379537236;-0.5565349935581589;0.9012061639424512;0.304156964939585;-0.9865469642000221;-0.7993764899216683;-0.11811156572151854;0.2003938009793444;0.12533600737540251
-0.9543;-0.9767;0.8162;-0.4072;-0.0981;0.2002;0.0881;-0.8545;0.6849;0.296;-0.7067;-0.3387;0.728;0.8163;0.5644;-0.4242;-0.5863;-0.3965;0.2679;0.4716;0.9751;-0.2009;-0.3343;-0.5485;0.3762;0.9897;-0.9307;-0.7478;0.3851;0.7741
0.8768;-0.3723;-0.6354;-0.7111;0.8142;-0.2103;0.2442;0.4474;0.5302;-0.3831;-0.7117;-0.9834;0.2456;0.1945;-0.8294;0.2097;-0.2475;0.4561;0.7251;-0.3144;-0.7506;-0.1365;-0.3824;0.6781;0.8004;-0.6731;0.8509;0.0063;0.9996;0.1393
0.9729;0.14633271093244077;-0.33756746657026904;-0.48984489562880873;-0.6319862809733486;-0.4339592516547699;0.8472383711264586;0.38997450945033696;0.0013935126695073419;0.06757906849283647;-0.5186875725157414;-0.40632250443184526;-0.22973571794189496;0.03476262009995635;-0.8143874841367259;-0.4898302573153153;0.5477892631781152;-0.9492391918002363;-0.5647334703454612;-0.19791699950505084;0.02034263724599806;0.1384774620462764;-0.11283499355815865;0.35740616394245256;-0.17384303506041437;-0.24084696420002347;0.22222351007833308;-0.8391115657215181;-0.9673061990206554;-0.2836639926245975
-0.0505;-0.2994;0.8066;0.0477;0.5892;-0.8198;0.6161;-0.7358;0.4205;-0.4038;0.2932;-0.3783;0.6431;-0.3364;-0.9681;-0.6376;0.3345;0.4866;0.6248;0.3708;0.3956;0.3142;-0.8577;0.0071;0.3508;0.7885;-0.8293;0.6439;0.5665;0.1796
0.5924;-0.9517170676481496;-0.8890818224545742;-0.09749569180568504;0.4101744670811486;-0.7876451532006056;0.38467597336979475;-0.9560654898601235;0.09663442689103151;-0.5587870536617627;0.0367682784197673;0.3085582265327335;-0.8016109778548287;0.8345885471303017;0.3179128057992231;-0.7437870069406294;-1.0077079431346814;-0.742239078910011;0.7914865127207701;-0.9097538095700407;0.2254878755562311;0.6622;-0.036981554655983094;-0.29790825475334676;-0.9799355201349765;-0.8927393241830135;-0.9002335523357987;0.9407467419913722;0.6799;-0.022703304234979235
-0.45515363569824113;-0.6101077775666676;0.8309046478001246;-0.20169981290286618;-0.47187403574263376;-0.20933489944503156;0.4972670585447257;0.05164068068939621;0.06194773573794636;0.8219525957068631;-0.2396390902904197;0.4254666923727067;0.4933416352752343;0.06316175357334401;0.9655355834353416;-0.9292310342837707;0.662715881758845;-0.9101959450299368;0.5044024510463178;-0.49781137256070895;0.9178699002503492;-0.48659320929024635;0.38827346766124393;0.5821885645051957;-0.7396195956991977;-0.545482785282295;0.7995240982562208;0.10575267575261398;-0.46803883988214073;-0.27819212810208793
0.9121220731744062;0.1265853141854185;-0.5331088621435542;-0.17228969202826447;0.6807143877952101;-0.30494488395182207;0.5235910162609718;-0.9899480316185256;-0.6712023581433906;0.2077783478296021;-0.04852530468626526;-0.8468290752470039;-0.0022668419200895123;0.2179769951817557;0.3604843400304919;-0.3176845684812795;-0.39955841322660435;-0.0751854411402785;0.49522447859235597;0.009229920879996523;-0.5747418973032261;0.3934492729217049;-0.835495061743645;-0.9983834916919292;0.5086801238843176;-0.9342558496970532;0.6353288258154419;-0.8315867852976806;0.533435568493991;0.38350859821772765
0.2004;-0.5573834368599508;0.2926133198322678;-0.5808982441528275;0.040389877912260695;0.7878572802735935;-0.7901631591110214;0.2909033986761835;0.8280433246913353;-0.9164647505083255;-0.6493772236709215;0.07981037929197285;-0.5410786575781803;0.1814848489411393;0.46042031995455185;-0.8300850712566317;-0.21899020687928278;-0.04945684097715717;0.6141764357553121;0.5960011980874411;0.8266622406088411;0.8486;0.4011165631099116;0.2853319435205831;-0.8514988914430989;0.003185766229271657;-0.26910340952230555;-0.24899837294184643;-0.15829647943691635;0.33726640404750224
0.4059129882978505;-0.6688422563863161;0.41621589652161894;0.05838890258543236;0.7664006358934604;0.0826355235139253;-0.585671078402592;0.35043336139624776;-0.6079303079039493;-0.496079907415939;-0.6701242506510944;0.5186071962981444;0.20390402206670927;0.5963563507867626;0.10251371532510047;0.9145836092511541;-0.3122652960946807;0.21055092439075918;0.25086597584605796;0.17884768731462566;-0.49295872727220563;0.03975448091111551;0.058539114886490225;0.5701362568693001;-0.6577180660594377;1.018415232310544;-0.3888702515353635;0.6260287942643779;-0.12221992912709716;-0.8420717276186171
0.054;-0.42710887040179835;-0.22503655036573164;0.11999775758853144;0.8188493295153381;0.2576340776252527;0.045374558009384225;0.39683925181799273;0.06676435237450962;-0.40738951854689354;0.669170358714804;-0.37042756934344623;0.5992960030191246;0.4910085277675597;-0.12872863045835736;0.7708563749031072;-0.3283751348760403;0.4068981109818846;-0.036482834538593974;-0.769647744519917;0.6384444497833773;0.5036642413883713;0.5958861010006792;0.4192161797480384;0.8711482222698208;0.23955491788633143;0.8139166301485005;-0.32068519249601146;0.41038895548054;-0.5048279600172465
